"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"2185","/new-york/features/open-house-insider/open-house-agenda-3-condos-over-1000-square-feet-under-1-million/","20150807","2417","open-house-agenda-3-condos-over-1000-square-feet-under-1-million","639633","Open House Agenda: 3 Condos Over 1,000 Square Feet and Under $1 Million ","<p>Big space, reasonable price tag. Reasonable for New York City, that is.</p>","0.00","0.23","0.03","0.03","0.03","0.05","0.00","1","1"
"2186","/new-york/features/on-inside/city-ignored-legionnaires-death-of-bronx-teacher-april-family-says/","20150807","2413","city-ignored-legionnaires-death-of-bronx-teacher-april-family-says","639261","City 'Ignored' Legionnaires' Death of Bronx Teacher in April, Family Says","<p>James Rouse taught at P.S. 325 near the epicenter of the city&#39;s Legionnaires&#39; disease outbreak.</p>","0.00","0.75","0.23","0.11","0.11","0.11","0.19","-1","1"
"2187","/new-york/features/get-out-do-this/9-things-do-queens-neighborhoods-this-weekend/","20150807","2192","9-things-do-queens-neighborhoods-this-weekend","639481","9 Things To Do in Queens Neighborhoods This Weekend","<p>Take your dog for a treat at the Canine Ice Cream Festival or watch the annual Dragon Boat contest.</p>","0.00","0.10","0.04","0.04","0.08","0.04","0.10","-1","7"
"2188","/new-york/story/greenwich-village-soho/meatpacking-district/contractors-charged-death-of-worker-buried-alive-at-construction-site/","20150807","1976","contractors-charged-death-of-worker-buried-alive-at-construction-site","639173","Contractors Charged in Death of Worker 'Buried Alive' at Construction Site","<p>The Manhattan District Attorney charged the workers and their companies with manslaughter.</p>","0.00","0.00","0.75","0.08","0.00","0.00","0.03","-1","7"
"2189","/new-york/features/this-is-new-york/adopt-cat-while-you-shop-this-weekend/","20150807","1874","adopt-cat-while-you-shop-this-weekend","639960","Adopt a Cat While You Shop This Weekend","<p>This Saturday, you can adopt a cat for free while you shop at Urban Outfitters.&nbsp;</p>","0.00","0.00","0.08","0.08","0.00","0.13","0.00","-1","7"
"2190","/new-york/story/st-george-port-richmond/meiers-corners/cab-driver-fined-25k-denies-charges-he-shunned-black-executive/","20150807","1664","cab-driver-fined-25k-denies-charges-he-shunned-black-executive","639862","Cab Driver Fined $25K Denies Charges He Shunned Black Executive","<p>Baqir Raza, 24, said another passenger who happened to be white got into the cab before&nbsp;Cynthia Jordan.</p>","0.00","0.05","0.14","0.11","0.03","0.10","0.05","-1","2"
"2191","/new-york/story/midtown-theater-district/midtown/taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids/","20150808","2031","taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids","639330","Taxi Driver Fined $25K for Refusing to Pick Up Black Executive and Her Kids","<p>Baqir Raza didn&#39;t pick up Cynthia Jordan and her family, but let white women in his cab, a judge said.</p>","0.00","0.03","0.14","0.11","0.03","0.10","0.00","-1","2"
"2192","/new-york/story/bedford-stuyvesant/bed-stuy/brooklyn-soccer-academy-founder-coach-mourned-after-drowning/","20150808","1772","brooklyn-soccer-academy-founder-coach-mourned-after-drowning","639546","Brooklyn Soccer Academy Founder and Coach Mourned After Drowning","<p>Magnus Mukoro, founder of Young Rock Soccer, died July 29 while on vacation with his family.</p>","0.00","0.00","0.00","0.00","0.00","0.15","0.00","-1","7"
"2193","/new-york/story/st-george-port-richmond/meiers-corners/cab-driver-fined-25k-denies-charges-he-shunned-black-executive/","20150808","1414","cab-driver-fined-25k-denies-charges-he-shunned-black-executive","639862","Cab Driver Fined $25K Denies Charges He Shunned Black Executive","<p>Baqir Raza, 24, said another passenger who happened to be white got into the cab before&nbsp;Cynthia Jordan.</p>","0.00","0.05","0.14","0.11","0.03","0.10","0.05","-1","2"
"2195","/new-york/story/washington-heights-inwood/washington-heights/free-wi-fi-comes-uptown-train-stations/","20150808","836","free-wi-fi-comes-uptown-train-stations","640111","Free Wi-Fi Comes to Uptown A Train Stations","<p>Five Uptown stations now offer free Internet service through Transit Wireless connections.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"2196","/new-york/story/midtown-theater-district/midtown/100-year-old-pianist-celebrates-his-birthday-at-ninos-tuscany/","20150808","799","100-year-old-pianist-celebrates-his-birthday-at-ninos-tuscany","640104","100-Year-Old Pianist Celebrates His Birthday at Nino's Tuscany","<p>He said he&#39;d do it all over again.</p>","0.00","0.20","0.20","0.04","0.04","0.04","0.00","-1","7"
"2197","/new-york/story/greenwich-village-soho/west-village/woman-mugged-at-knifepoint-by-man-who-offered-sex-at-pier-45-police-say/","20150808","786","woman-mugged-at-knifepoint-by-man-who-offered-sex-at-pier-45-police-say","639556","Woman Mugged at Knifepoint by Man Who 'Offered Sex' at Pier 45, Police Say","<p>Police said the man stole the woman&#39;s $200 Coach wallet and $60 in cash.</p>","0.00","0.11","0.00","0.00","0.10","0.00","0.13","1","6"
"2198","/new-york/story/upper-east-side-roosevelt-island/carnegie-hill/weekend-subway-service-changes-for-12-lines-include-tunnel-closure-mta/","20150808","762","weekend-subway-service-changes-for-12-lines-include-tunnel-closure-mta","640026","Weekend Subway Service Changes for 12 Lines Include Tunnel Closure: MTA","<p>The 3, 4, 6, 7, A, C, D, E, F, N, Q and R trains will all be affected.</p>","0.00","0.20","0.20","0.06","0.05","0.00","0.07","-1","7"
"2199","/new-york/story/greenwich-village-soho/west-village/stonewall-movie-sparks-backlash-from-gay-community/","20150808","713","stonewall-movie-sparks-backlash-from-gay-community","640142","'Stonewall' Movie Sparks Backlash From Gay Community","<p>&quot;Independence Day&quot; director Roland Emmerich&#39;s retelling of the 1969 events premieres Sept. 25.</p>","0.00","0.32","0.00","0.00","0.00","0.00","0.00","1","1"
"2200","/new-york/features/get-out-do-this/14-things-do-manhattans-neighborhoods-this-weekend/","20150808","711","14-things-do-manhattans-neighborhoods-this-weekend","639628","14 Things for You To Do in Manhattan's Neighborhoods This Weekend ","<p>Check out these events, from outdoor yoga to a concert by one of hip hop&#39;s masters.</p>","0.00","0.05","0.15","0.04","0.04","0.04","0.00","-1","2"
"2201","/new-york/story/st-george-port-richmond/meiers-corners/cab-driver-fined-25k-denies-charges-he-shunned-black-executive/","20150809","730","cab-driver-fined-25k-denies-charges-he-shunned-black-executive","639862","Cab Driver Fined $25K Denies Charges He Shunned Black Executive","<p>Baqir Raza, 24, said another passenger who happened to be white got into the cab before&nbsp;Cynthia Jordan.</p>","0.00","0.05","0.14","0.11","0.03","0.10","0.05","-1","2"
"2202","/new-york/story/midtown-theater-district/midtown/100-year-old-pianist-celebrates-his-birthday-at-ninos-tuscany/","20150809","705","100-year-old-pianist-celebrates-his-birthday-at-ninos-tuscany","640104","100-Year-Old Pianist Celebrates His Birthday at Nino's Tuscany","<p>He said he&#39;d do it all over again.</p>","0.00","0.20","0.20","0.04","0.04","0.04","0.00","-1","7"
"2203","/new-york/story/bedford-stuyvesant/bed-stuy/brooklyn-soccer-academy-founder-coach-mourned-after-drowning/","20150809","658","brooklyn-soccer-academy-founder-coach-mourned-after-drowning","639546","Brooklyn Soccer Academy Founder and Coach Mourned After Drowning","<p>Magnus Mukoro, founder of Young Rock Soccer, died July 29 while on vacation with his family.</p>","0.00","0.00","0.00","0.00","0.00","0.15","0.00","-1","7"
"2204","/new-york/story/greenwich-village-soho/west-village/stonewall-movie-sparks-backlash-from-gay-community/","20150809","633","stonewall-movie-sparks-backlash-from-gay-community","640142","'Stonewall' Movie Sparks Backlash From Gay Community","<p>&quot;Independence Day&quot; director Roland Emmerich&#39;s retelling of the 1969 events premieres Sept. 25.</p>","0.00","0.32","0.00","0.00","0.00","0.00","0.00","1","1"
"2206","/new-york/features/this-is-new-york/did-you-know-developers-are-installing-skyscraper-counterweights/","20150809","577","did-you-know-developers-are-installing-skyscraper-counterweights","640024","Did You Know? Developers Are Installing Skyscraper Counterweights","<p>The solution to swaying skyscrapers is the&nbsp;installation&nbsp;of giant counterweights&nbsp;at the top.</p>","0.00","0.07","0.07","0.03","0.03","0.03","0.00","1","7"
"2207","/new-york/features/openings-closings/rum-reggae-bar-opens-on-tompkins-avenue/","20150809","570","rum-reggae-bar-opens-on-tompkins-avenue","640123","Rum and Reggae Bar Opens on Tompkins Avenue","<p>The new bar plays a mix of Caribbean-inspired tunes and focuses on rum, tequila and mezcal drinks.</p>","0.00","0.25","0.00","0.00","0.00","0.05","0.00","1","1"
"2208","/new-york/story/midtown-theater-district/midtown/taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids/","20150809","550","taxi-driver-fined-25k-for-refusing-pick-up-black-executive-her-kids","639330","Taxi Driver Fined $25K for Refusing to Pick Up Black Executive and Her Kids","<p>Baqir Raza didn&#39;t pick up Cynthia Jordan and her family, but let white women in his cab, a judge said.</p>","0.00","0.03","0.14","0.11","0.03","0.10","0.00","-1","2"
"2209","/new-york/story/greenwich-village-soho/meatpacking-district/contractors-charged-death-of-worker-buried-alive-at-construction-site/","20150809","458","contractors-charged-death-of-worker-buried-alive-at-construction-site","639173","Contractors Charged in Death of Worker 'Buried Alive' at Construction Site","<p>The Manhattan District Attorney charged the workers and their companies with manslaughter.</p>","0.00","0.00","0.75","0.08","0.00","0.00","0.03","-1","7"
"2210","/new-york/story/washington-heights-inwood/washington-heights/free-wi-fi-comes-uptown-train-stations/","20150809","454","free-wi-fi-comes-uptown-train-stations","640111","Free Wi-Fi Comes to Uptown A Train Stations","<p>Five Uptown stations now offer free Internet service through Transit Wireless connections.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"2211","/new-york/story/williamsburg-greenpoint-bushwick/greenpoint/woman-pays-man-20-not-rape-her-police-say/","20150810","15427","woman-pays-man-20-not-rape-her-police-say","639949","Woman Pays Man $20 Not to Rape Her, Police Say","<p>The man took the cash and ran, police said.</p>","0.00","0.15","0.00","0.00","0.00","0.00","0.00","-1","1"
"2212","/new-york/features/this-is-new-york/urban-astrologer-gives-tours-of-nyc-based-on-your-zodiac-sign/","20150810","8684","urban-astrologer-gives-tours-of-nyc-based-on-your-zodiac-sign","639681","Urban Astrologer Gives Tours of NYC Based on Your Zodiac Sign ","<p>Bess Matassa takes you&nbsp;to physical sites&nbsp;that embody qualities expressed in your astrological chart.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"2213","/new-york/story/washington-heights-inwood/washington-heights/growing-number-of-men-from-uptown-shelter-menacing-neighbors-locals-say/","20150810","6742","growing-number-of-men-from-uptown-shelter-menacing-neighbors-locals-say","639942","Growing Number of Men From Uptown Shelter Menacing Neighbors, Locals Say","<p>Locals say that residents from Fort Washington shelter have become more aggressive.</p>","0.00","0.04","0.15","0.15","0.03","0.19","0.00","-1","7"
"2214","/new-york/features/on-inside/city-never-inspected-school-where-teacher-died-of-legionnaires-disease/","20150810","4899","city-never-inspected-school-where-teacher-died-of-legionnaires-disease","640183","City Never Inspected School Where Teacher Died of Legionnaires' Disease","<p>Health inspectors now plan to visit P.S. 325 for the first time since a teacher there died in April.</p>","0.00","0.23","0.05","0.00","0.00","0.00","0.00","1","1"
"2215","/new-york/story/downtown/financial-district/financial-districts-biryani-house-is-among-vendy-awards-finalists/","20150810","3030","financial-districts-biryani-house-is-among-vendy-awards-finalists","640377","Financial District's Biryani House is Among Vendy Awards Finalists","<p>Five food trucks, including Astoria&#39;s Souvlaki Lady and Brooklyn&#39;s Hard Times Sundaes, made the cut.</p>","0.00","0.53","0.03","0.03","0.01","0.03","0.00","1","1"
"2216","/new-york/story/south-bronx/melrose/legionnaires-disease-found-at-high-school-court-houses-mayor-says/","20150810","2279","legionnaires-disease-found-at-high-school-court-houses-mayor-says","640275","Legionnaires' Disease Found at High School and Court Houses, Mayor Says","<p>The number of infections is up to 109 people, the city said.</p>","0.00","0.23","0.11","0.11","0.00","0.11","0.00","-1","1"
"2217","/new-york/story/harlem/east-harlem/city-should-keep-closer-eye-on-controversial-harlem-developer-critics-say/","20150810","2189","city-should-keep-closer-eye-on-controversial-harlem-developer-critics-say","639396","City Should Keep Closer Eye on Controversial Harlem Developer, Critics Say","<p>Neighbors say work at 329 Pleasant Ave. is putting their homes at risk of collapse.</p>","0.00","0.68","0.00","0.19","0.00","0.00","0.06","1","1"
"2218","/new-york/features/get-out-do-this/19-things-do-this-week-new-york-citys-neighborhoods/","20150810","2078","19-things-do-this-week-new-york-citys-neighborhoods","640034","19 Things To Do This Week in New York City's Neighborhoods","<p>Enjoy summer evenings outdoors in the city lots of different ways.</p>","0.00","0.23","0.04","0.04","0.04","0.05","0.00","1","1"
"2219","/new-york/story/washington-heights-inwood/washington-heights/free-wi-fi-comes-uptown-train-stations/","20150810","1631","free-wi-fi-comes-uptown-train-stations","640111","Free Wi-Fi Comes to Uptown A Train Stations","<p>Five Uptown stations now offer free Internet service through Transit Wireless connections.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
