"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"33","/new-york/story/bedford-stuyvesant/bed-stuy/man-stabbed-neck-head-on-j-train-platform-police-say","2015-04-13","218","man-stabbed-neck-head-on-j-train-platform-police-say","613002","Man Stabbed in Neck and Head on J Train Platform, Police Say","<p>A straphanger could be paralyzed after the attack in the Chauncey Street station, police said.</p>","0.00","0.05","0.15","0.00","0.05","0.00","0.05","-1","2"
"34","/new-york/story/bedford-stuyvesant/bed-stuy/restaurant-owner-sentenced-for-failing-pay-workers-17k-back-wages","2015-04-13","265","restaurant-owner-sentenced-for-failing-pay-workers-17k-back-wages","613419","Restaurant Owner Sentenced for Failing to Pay Workers $17K in Back Wages","<p>Employees at Edna&#39;s Soul Food Restaurant in Brownsville were owed pay for up to two months of work.</p>","0.00","0.53","0.15","0.17","0.17","0.13","0.00","1","1"
"35","/new-york/story/bedford-stuyvesant/bed-stuy/video-bed-stuy-gym-trains-boxing-greats-provides-safe-haven-for-kids","2015-04-13","170","video-bed-stuy-gym-trains-boxing-greats-provides-safe-haven-for-kids","613303","VIDEO: Bed-Stuy Gym Trains Boxing Greats, Provides Safe Haven for Kids","<p>The New Bed-Stuy Boxing Center will be honored this month for its dedication to youth in the community.</p>","0.00","0.09","0.10","0.05","0.05","0.05","0.05","1","2"
"36","/new-york/story/bedford-stuyvesant/bed-stuy/vincent-van-gogh-lookalike-rides-g-train","2015-04-13","273","vincent-van-gogh-lookalike-rides-g-train","612230","Vincent van Gogh Lookalike Rides the G Train","<p>A straphanger posted a picture of Brooklyn resident Robert Reynolds, likening him to the famous artist.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"37","/new-york/story/chelsea-hells-kitchen/chelsea/chelsea-outraged-at-chair-attack-against-gay-couple-at-dallas-bbq","2015-04-13","2515","chelsea-outraged-at-chair-attack-against-gay-couple-at-dallas-bbq","613021","Chelsea Outraged at Chair Attack Against Gay Couple at Dallas BBQ","<p>The neighborhood is not as safe for gay people as locals would like, they said.</p>","0.00","0.32","0.32","0.16","0.75","0.16","0.15","-1","7"
"38","/new-york/story/chelsea-hells-kitchen/chelsea/frozen-yogurt-head-steps-down-after-white-lives-matter-protest-arrest","2015-04-13","204","frozen-yogurt-head-steps-down-after-white-lives-matter-protest-arrest","612358","Frozen Yogurt Head Steps Down After 'White Lives Matter' Protest Arrest","<p>Saverio Pugliese went after a protester at last week&#39;s Freddie Gray march, police said.&nbsp;</p>","0.00","0.03","0.11","0.00","0.03","0.10","0.00","-1","2"
"39","/new-york/story/chelsea-hells-kitchen/chelsea/nypd-release-video-of-suspect-attack-on-gay-couple-chelsea-dallas-bbq","2015-04-13","1022","nypd-release-video-of-suspect-attack-on-gay-couple-chelsea-dallas-bbq","613305","Video of Suspect Released After Attack on Gay Couple in Chelsea Dallas BBQ","<p>This man was videotaped smashing a chair on Jonathan Snipes and his boyfriend, police said.</p>","0.00","0.32","0.00","0.00","0.08","0.00","0.05","1","1"
"42","/new-york/story/chelsea-hells-kitchen/chelsea/women-smoking-marijuana-beat-up-man-who-told-them-move-police-say","2015-04-13","3435","women-smoking-marijuana-beat-up-man-who-told-them-move-police-say","613315","Women Smoking Marijuana Beat Up Man Who Told Them To Move, Police Say","<p>The 29-year-old man was walking his dogs in front of his apartment.</p>","0.00","0.02","0.06","0.06","0.10","0.00","0.10","-1","7"
"44","/new-york/story/cobble-hill-carroll-gardens-red-hook/red-hook/schools-win-big-2m-taxpayer-funding-for-red-hook-sunset-park","2015-04-13","150","schools-win-big-2m-taxpayer-funding-for-red-hook-sunset-park","613378","Schools Win Big in $2M Taxpayer Funding for Red Hook and Sunset Park","<p>Four school projects will be funded through District 38&#39;s participatory budgeting process.</p>","0.00","0.05","0.05","0.03","0.05","0.03","0.05","-1","7"
"45","/new-york/story/crown-heights-prospect-heights-prospect-lefferts-gardens/crown-heights/two-men-shot-during-gambling-fight-crown-heights-police-say","2015-04-13","311","two-men-shot-during-gambling-fight-crown-heights-police-say","612990","Two Men Shot During Gambling Fight in Crown Heights, Police Say","<p>They were shot in a St. Johns Place apartment building, police said.</p>","0.00","0.00","0.00","0.08","0.00","0.00","0.15","-1","7"
